hetman_quantity,solutions
9_hetman,"[5, 7, 4, 1, 3, 9, 6, 8, 2]"
9_hetman,"[5, 7, 4, 1, 8, 2, 9, 6, 3]"
9_hetman,"[5, 7, 9, 3, 8, 2, 4, 6, 1]"
9_hetman,"[5, 7, 9, 4, 2, 8, 6, 3, 1]"
9_hetman,"[5, 7, 9, 4, 8, 1, 3, 6, 2]"
9_hetman,"[5, 8, 1, 4, 7, 3, 6, 9, 2]"
9_hetman,"[5, 8, 1, 9, 4, 2, 7, 3, 6]"
9_hetman,"[5, 8, 2, 7, 3, 1, 9, 4, 6]"
9_hetman,"[5, 8, 2, 7, 3, 6, 9, 1, 4]"
9_hetman,"[5, 8, 2, 9, 3, 1, 7, 4, 6]"
9_hetman,"[5, 8, 2, 9, 6, 3, 1, 4, 7]"
9_hetman,"[5, 8, 4, 1, 3, 6, 9, 7, 2]"
9_hetman,"[5, 8, 4, 1, 7, 2, 6, 3, 9]"
9_hetman,"[5, 8, 4, 9, 7, 3, 1, 6, 2]"
9_hetman,"[5, 8, 6, 1, 3, 7, 9, 4, 2]"
9_hetman,"[5, 8, 6, 9, 3, 1, 7, 4, 2]"
9_hetman,"[5, 9, 2, 4, 7, 3, 8, 6, 1]"
9_hetman,"[5, 9, 2, 6, 8, 3, 1, 4, 7]"
9_hetman,"[5, 9, 4, 6, 8, 2, 7, 1, 3]"
9_hetman,"[6, 1, 5, 2, 9, 7, 4, 8, 3]"
9_hetman,"[6, 1, 5, 7, 9, 3, 8, 2, 4]"
9_hetman,"[6, 1, 5, 7, 9, 4, 2, 8, 3]"
9_hetman,"[6, 1, 7, 4, 8, 3, 5, 9, 2]"
9_hetman,"[6, 2, 5, 7, 9, 3, 8, 4, 1]"
9_hetman,"[6, 2, 5, 7, 9, 4, 8, 1, 3]"
9_hetman,"[6, 2, 9, 5, 3, 8, 4, 7, 1]"
9_hetman,"[6, 3, 1, 4, 7, 9, 2, 5, 8]"
9_hetman,"[6, 3, 1, 8, 4, 9, 7, 5, 2]"
9_hetman,"[6, 3, 1, 8, 5, 2, 9, 7, 4]"
9_hetman,"[6, 3, 5, 8, 1, 4, 2, 7, 9]"
9_hetman,"[6, 3, 5, 8, 1, 9, 4, 2, 7]"
9_hetman,"[6, 3, 5, 8, 1, 9, 7, 2, 4]"
9_hetman,"[6, 3, 7, 2, 4, 8, 1, 5, 9]"
9_hetman,"[6, 3, 7, 2, 4, 9, 1, 8, 5]"
9_hetman,"[6, 3, 7, 2, 8, 5, 1, 4, 9]"
9_hetman,"[6, 3, 7, 4, 1, 9, 2, 5, 8]"
9_hetman,"[6, 3, 9, 2, 5, 8, 1, 7, 4]"
9_hetman,"[6, 3, 9, 4, 1, 8, 2, 5, 7]"
9_hetman,"[6, 3, 9, 7, 1, 4, 2, 5, 8]"
9_hetman,"[6, 4, 1, 7, 9, 2, 8, 5, 3]"
9_hetman,"[6, 4, 2, 7, 9, 3, 5, 8, 1]"
9_hetman,"[6, 4, 2, 8, 3, 9, 7, 5, 1]"
9_hetman,"[6, 4, 2, 8, 5, 3, 1, 9, 7]"
9_hetman,"[6, 4, 2, 8, 5, 9, 1, 3, 7]"
9_hetman,"[6, 4, 7, 1, 3, 9, 2, 8, 5]"
9_hetman,"[6, 4, 7, 1, 8, 2, 5, 3, 9]"
9_hetman,"[6, 4, 7, 1, 8, 5, 2, 9, 3]"
9_hetman,"[6, 4, 9, 1, 3, 7, 2, 8, 5]"
9_hetman,"[6, 4, 9, 1, 5, 2, 8, 3, 7]"
9_hetman,"[6, 4, 9, 5, 8, 2, 7, 3, 1]"
9_hetman,"[6, 8, 1, 5, 9, 2, 4, 7, 3]"
9_hetman,"[6, 8, 1, 7, 4, 2, 9, 5, 3]"
9_hetman,"[6, 8, 2, 7, 1, 3, 5, 9, 4]"
9_hetman,"[6, 8, 3, 1, 9, 2, 5, 7, 4]"
9_hetman,"[6, 8, 3, 1, 9, 5, 2, 4, 7]"
9_hetman,"[6, 8, 3, 7, 9, 2, 5, 1, 4]"
9_hetman,"[6, 8, 5, 2, 9, 7, 4, 1, 3]"
9_hetman,"[6, 9, 1, 4, 7, 3, 8, 2, 5]"
9_hetman,"[6, 9, 3, 1, 8, 4, 2, 7, 5]"
9_hetman,"[6, 9, 5, 1, 8, 4, 2, 7, 3]"
9_hetman,"[6, 9, 5, 2, 8, 3, 7, 4, 1]"
9_hetman,"[6, 9, 5, 8, 1, 3, 7, 2, 4]"
9_hetman,"[6, 9, 7, 4, 1, 8, 2, 5, 3]"
9_hetman,"[7, 1, 4, 2, 8, 6, 9, 3, 5]"
9_hetman,"[7, 1, 4, 6, 9, 3, 5, 8, 2]"
9_hetman,"[7, 1, 4, 8, 5, 3, 9, 6, 2]"
9_hetman,"[7, 1, 6, 2, 5, 8, 4, 9, 3]"
9_hetman,"[7, 1, 6, 8, 2, 4, 9, 3, 5]"
9_hetman,"[7, 1, 6, 9, 2, 4, 8, 3, 5]"
9_hetman,"[7, 1, 8, 5, 2, 9, 3, 6, 4]"
9_hetman,"[7, 2, 4, 1, 8, 5, 9, 6, 3]"
9_hetman,"[7, 2, 4, 6, 1, 9, 5, 3, 8]"
9_hetman,"[7, 2, 4, 9, 1, 8, 5, 3, 6]"
9_hetman,"[7, 2, 6, 3, 1, 8, 5, 9, 4]"
9_hetman,"[7, 2, 8, 6, 1, 3, 5, 9, 4]"
